NodeName,Recommendation,UpgradeType,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices,GroupNode
0,G,x,x,x,x,x,x,x,x,x,Yes
CE,G,x,x,x,x,x,x,x,x,x,Yes
Marketing,G,x,x,x,x,x,x,x,x,x,Yes
Dynamics 365 Marketing,G,x,x,x,x,x,x,x,x,x,Yes
Collaborative apps,G,x,x,x,x,x,x,x,x,x,Yes
Take action with your customers in more ways by raising triggers from a journey to run another journey or Power Automate flow,G,x,x,x,x,x,x,x,x,x,null
Personalize interactions using a unified view of customer activity across Dynamics 365 Marketing Sales and Customer Service,G,x,x,x,x,x,x,x,x,x,null
Trigger journeys based on data changes in any Dynamics 365 app to engage customers at the right time without writing any code,G,x,x,x,x,x,x,x,x,x,null
Collaborate across your organization to create the best marketing campaigns possible using the built-in Microsoft Teams chat,G,x,x,x,x,x,x,x,x,x,null
Data and AI,G,x,x,x,x,x,x,x,x,x,Yes
Delight your customers with hyper-personalized next-best content selection and boost your marketing ROI by optimizing with AI,G,x,x,x,x,x,x,x,x,x,null
Connect Dynamics 365 Customer Insights with customer journey orchestration when using your own data lake,G,x,x,x,x,x,x,x,x,x,null
Quickly personalize emails using predefined dynamic text without the need to know the underlying data structure,G,x,x,x,x,x,x,x,x,x,null
Quickly create emails with enhanced reusable content fragments,G,x,x,x,x,x,x,x,x,x,null
Win customer attention by creating conditional dynamic content with easy-to-use no-code experiences,G,x,x,x,x,x,x,x,x,x,null
Moments-based,G,x,x,x,x,x,x,x,x,x,Yes
Create individualized journeys by adding conditions based on attributes captured as part of the event trigger,G,x,x,x,x,x,x,x,x,x,null
Continue the conversation with your customers by taking action on their SMS replies,G,x,x,x,x,x,x,x,x,x,null
Easily create journeys to send reminders encouraging customers to respond to a call to action,G,x,x,x,x,x,x,x,x,x,null
Target the right contacts and leads using the reimagined easy-to-use segmentation builder,G,x,x,x,x,x,x,x,x,x,null
Sales,G,x,x,x,x,x,x,x,x,x,Yes
Dynamics 365 Sales,G,x,x,x,x,x,x,x,x,x,Yes
Conversation intelligence,G,x,x,x,x,x,x,x,x,x,Yes
Get the right insight at the right time at the right place,G,x,x,x,x,x,x,x,x,x,null
Facilitating digital selling,G,x,x,x,x,x,x,x,x,x,Yes
Experience sales accelerator conversation intelligence and predictive scoring with Dynamics 365 Sales Enterprise license,G,x,x,x,x,x,x,x,x,x,null
Sales Hub is now preinstalled on all environments,G,x,x,x,x,x,x,x,x,x,null
Forecasting and pipeline intelligence,G,x,x,x,x,x,x,x,x,x,Yes
Assign attributes per sales stage to improve predictive score accuracy,G,x,x,x,x,x,x,x,x,x,null
Streamline your forecasting workflow with default experiences,G,x,x,x,x,x,x,x,x,x,null
Filter the underlying opportunities of a forecast,G,x,x,x,x,x,x,x,x,x,null
Monitor stagnated deals and how they impact the predictive score,G,x,x,x,x,x,x,x,x,x,null
Measure the performance of predictive scoring model with accuracy reports,G,x,x,x,x,x,x,x,x,x,null
Update quotas quickly with inline editing and quota rollups,G,x,x,x,x,x,x,x,x,x,null
