NodeName,Recommendation,UpgradeType,FoodAndBeverage,Retail,Industrials,LifeSciences,PublicSector,HealthCare,NonProfit,BusinessAndProfessionalServices
0,G,x,x,x,x,x,x,x,x,x
CE,G,x,x,x,x,x,x,x,x,x
Marketing,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Marketing,G,x,x,x,x,x,x,x,x,x
Analytics and AI,G,x,x,x,x,x,x,x,x,x
Create email content easily and efficiently with AI-based content ideas,G,x,x,x,x,x,x,x,x,x
New email editor with A/B testing,G,x,x,x,x,x,x,x,x,x
Moments-based,G,x,x,x,x,x,x,x,x,x
Connect Customer Insights and your own data lake with customer journey orchestration,G,x,x,x,x,x,x,x,x,x
A/B testing in the new outbound marketing email editor,G,x,x,x,x,x,x,x,x,x
Send SMS messages using Twilio and TeleSign integration,G,x,x,x,x,x,x,x,x,x
Visualize customer journey interactions on the Customer Insights activity timeline,G,x,x,x,x,x,x,x,x,x
Create a webinar registration experience in Teams then design the participants' journey in Marketing with a few clicks,G,x,x,x,x,x,x,x,x,x
Personalization,G,x,x,x,x,x,x,x,x,x
Create segments for contacts and leads in the new segmentation builder,G,x,x,x,x,x,x,x,x,x
Deliver rich customer experiences across Dynamics 365 Office and other apps by augmenting customer journeys withÂ Power Automate,G,x,x,x,x,x,x,x,x,x
Sales,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Sales,G,x,x,x,x,x,x,x,x,x
Accelerator workspace,G,x,x,x,x,x,x,x,x,x
Seller KPIs and manager dashboards to encourage productivity,G,x,x,x,x,x,x,x,x,x
Advanced filtering and sorting,G,x,x,x,x,x,x,x,x,x
Sequence management and connected screen enhancement,G,x,x,x,x,x,x,x,x,x
Show sequence details in grid,G,x,x,x,x,x,x,x,x,x
Worklist ownership enhancement,G,x,x,x,x,x,x,x,x,x
Worklist and workspace improvement,G,x,x,x,x,x,x,x,x,x
Template sequences,G,x,x,x,x,x,x,x,x,x
Smart sequence - LinkedIn integration,G,x,x,x,x,x,x,x,x,x
Transport sequence between systems,G,x,x,x,x,x,x,x,x,x
Worklist card enhancement,G,x,x,x,x,x,x,x,x,x
Improving leads quality with data hygiene,G,x,x,x,x,x,x,x,x,x
Lead routing,G,x,x,x,x,x,x,x,x,x
Collaboration using Microsoft Teams,G,x,x,x,x,x,x,x,x,x
Add activities or notes to a Dynamics 365 record from the context of a Microsoft Teams message,G,x,x,x,x,x,x,x,x,x
Edit a Dynamics 365 record within a Microsoft Teams conversation,G,x,x,x,x,x,x,x,x,x
Share Dynamics 365 records in a Microsoft Teams message,G,x,x,x,x,x,x,x,x,x
Drive seller productivity with Teams meeting integration,G,x,x,x,x,x,x,x,x,x
Send automated chat notifications from Dynamics 365 to Teams,G,x,x,x,x,x,x,x,x,x
Embedded Teams collaboration is generally available,G,x,x,x,x,x,x,x,x,x
Engage in contextual collaboration on Teams,G,x,x,x,x,x,x,x,x,x
Enhancements to Suggested Contacts system for embedded Teams collaboration,G,x,x,x,x,x,x,x,x,x
Engagement platform and productivity intelligence,G,x,x,x,x,x,x,x,x,x
Seamless experience with Teams Outlook 3P calling,G,x,x,x,x,x,x,x,x,x
Forecasting and pipeline analytics,G,x,x,x,x,x,x,x,x,x
Filter users from forecast hierarchy,G,x,x,x,x,x,x,x,x,x
Share and delegate access to forecasts,G,x,x,x,x,x,x,x,x,x
Improve predictive scoring by enabling intelligent field augmentation,G,x,x,x,x,x,x,x,x,x
Expand visibility of your forecast with annual view and weekly and yearly periods,G,x,x,x,x,x,x,x,x,x
Quota inline editing and rollups,G,x,x,x,x,x,x,x,x,x
Mobile,G,x,x,x,x,x,x,x,x,x
Come prepared to customer engagements,G,x,x,x,x,x,x,x,x,x
Find interact and create CRM information easily,G,x,x,x,x,x,x,x,x,x
Log and share information effortlessly,G,x,x,x,x,x,x,x,x,x
Never miss a detail in your customer engagements,G,x,x,x,x,x,x,x,x,x
Relationship intelligence,G,x,x,x,x,x,x,x,x,x
Account-based contact discovery with Who knows whom,G,x,x,x,x,x,x,x,x,x
Include custom activities in relationship analytics,G,x,x,x,x,x,x,x,x,x
Service,G,x,x,x,x,x,x,x,x,x
Dynamics 365 Customer Service,G,x,x,x,x,x,x,x,x,x
Agent experiences,G,x,x,x,x,x,x,x,x,x
Agent workspace inbox view,G,x,x,x,x,x,x,x,x,x
Usability improvements for agent workspaces,G,x,x,x,x,x,x,x,x,x
Agent productivity,G,x,x,x,x,x,x,x,x,x
Increase agent productivity with contextual collaboration using embedded Microsoft Teams,G,x,x,x,x,x,x,x,x,x
Case management,G,x,x,x,x,x,x,x,x,x
Modern control for subject entity,G,x,x,x,x,x,x,x,x,x
Improvements to the Universal Resource Scheduling-based service scheduling experience,G,x,x,x,x,x,x,x,x,x
Scheduling and IoT capabilities in Customer Service workspace,G,x,x,x,x,x,x,x,x,x
Knowledge management,G,x,x,x,x,x,x,x,x,x
AI-suggested keywords and brief description for knowledge articles,G,x,x,x,x,x,x,x,x,x
